,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg vol (3m),Market cap,P/E Ratio (TTM),52 Wk Change %,52 Wk range
24,PYPL,"PayPal Holdings, Inc.",,74.61 +3.32 (+4.66%),3.32,+4.66%,31.253M,12.261M,71.281B,15.98,-8.62%,55.85 93.66
25,METC,"Ramaco Resources, Inc.",,40.70 +1.77 (+4.55%),1.77,+4.55%,3.097M,3.533M,2.441B,--,+281.01%,6.30 42.61
26,EL,The Estée Lauder Companies Inc.,,92.68 +4.02 (+4.53%),4.02,+4.53%,2.586M,3.565M,31.949B,--,-1.09%,48.37 97.44
27,MESO,Mesoblast Limited,,18.09 +0.77 (+4.45%),0.77,+4.45%,368162,260590,2.318B,--,+96.84%,7.09 22.00
28,INDV,Indivior PLC,,23.72 +0.99 (+4.36%),0.99,+4.36%,1.407M,2.843M,2.96B,29.28,+151.27%,7.33 25.10
29,NG,NovaGold Resources Inc.,,10.07 +0.41 (+4.24%),0.41,+4.24%,4.557M,3.615M,4.109B,--,+197.93%,2.26 10.44
30,ARQT,"Arcutis Biotherapeutics, Inc.",,20.57 +0.81 (+4.10%),0.81,+4.10%,1.924M,1.778M,2.466B,--,+109.90%,8.03 21.30
31,ONDS,Ondas Holdings Inc.,,11.09 +0.43 (+4.03%),0.43,+4.03%,56.357M,42.779M,3.655B,--,"+1,130.85%",0.57 11.63
32,UUUU,Energy Fuels Inc.,,17.59 +0.68 (+4.02%),0.68,+4.02%,26.044M,16.473M,4.058B,--,+226.35%,3.20 19.01
33,SMTC,Semtech Corporation,,70.91 +2.74 (+4.02%),2.74,+4.02%,4.412M,1.89M,6.153B,112.56,+72.36%,24.05 79.52
34,LEU,Centrus Energy Corp.,,370.07 +13.79 (+3.87%),13.79,+3.87%,1.295M,1.397M,6.738B,59.88,+486.95%,49.40 388.62
35,RTO,Rentokil Initial plc,,27.59 +1.02 (+3.84%),1.02,+3.84%,679396,781051,13.876B,43.79,+17.25%,19.60 27.63
36,AMD,"Advanced Micro Devices, Inc.",,211.51 +7.80 (+3.83%),7.8,+3.83%,113.974M,58.022M,343.248B,126.65,+23.68%,76.48 226.71
37,UEC,Uranium Energy Corp.,,13.54 +0.49 (+3.75%),0.49,+3.75%,20.934M,15.573M,6.3B,--,+100.30%,3.85 15.06
38,BTU,Peabody Energy Corporation,,32.40 +1.12 (+3.58%),1.12,+3.58%,5.588M,5.38M,3.94B,29.72,+25.78%,9.61 33.28
39,DELL,Dell Technologies Inc.,,150.87 +5.11 (+3.51%),5.11,+3.51%,17.605M,6.208M,97.688B,22.02,+23.32%,66.25 154.70
40,APLS,"Apellis Pharmaceuticals, Inc.",,25.21 +0.85 (+3.49%),0.85,+3.49%,2.362M,2.455M,3.184B,--,-6.28%,16.10 35.72
41,KTOS,"Kratos Defense & Security Solutions, Inc.",,103.69 +3.44 (+3.43%),3.44,+3.43%,5.758M,4.619M,17.502B,1036.90,+315.42%,22.69 104.71
42,EQX,Equinox Gold Corp.,,11.48 +0.38 (+3.42%),0.38,+3.42%,16.382M,15.632M,8.975B,--,+103.91%,4.95 11.81
43,KVUE,Kenvue Inc.,,16.22 +0.53 (+3.38%),0.53,+3.38%,28.508M,27.008M,31.127B,21.63,-24.66%,15.47 25.17
44,EE,"Excelerate Energy, Inc.",,26.86 +0.87 (+3.35%),0.87,+3.35%,516694,450293,2.963B,19.32,+18.43%,21.29 32.99
45,CELH,"Celsius Holdings, Inc.",,61.06 +1.95 (+3.30%),1.95,+3.30%,4.759M,6.066M,15.74B,160.68,+100.13%,21.10 63.50
46,KR,The Kroger Co.,,66.88 +2.08 (+3.21%),2.08,+3.21%,5.377M,7.081M,44.32B,16.97,+19.11%,54.88 74.90
47,BRBR,"BellRing Brands, Inc.",,34.77 +1.04 (+3.08%),1.04,+3.08%,2.701M,3.383M,4.38B,19.87,-44.01%,33.73 80.67
48,CLSK,"CleanSpark, Inc.",,17.96 +0.53 (+3.04%),0.53,+3.04%,46.992M,25.417M,5.048B,20.88,+102.71%,6.45 18.87
49,CART,Maplebear Inc.,,38.99 +1.14 (+3.01%),1.14,+3.01%,8.208M,5.568M,10.271B,22.54,-11.37%,34.87 53.50
50,ACGL,Arch Capital Group Ltd.,,94.10 +2.75 (+3.01%),2.75,+3.01%,2.063M,2.262M,35.12B,9.73,-16.79%,82.49 116.41
51,,,,,,,,,,,,
